id,title,composer,artist,key,time_signature,tempo,instrumentation,sections,dynamics,articulation,pedaling,matched_file_count,note_events,chord_events,view_count,duration_min,channel_follower_count,virality_coefficient,source,published_year,detected_language,country,source_paths,reference_count
post-malone-rockstar-official-music-video-ft-21-savage::post-malone,Post Malone - rockstar (Official Music Video) ft. 21 Savage,,Post Malone,,,,,,,,False,0,0,0,1310000000.0,3.225,6320000.0,207.27848101265823,most_viewed_2026,0,English,Unknown,,6
dread-mar-i-tu-sin-mi-video-oficial-hd-version::dread-mar-i,Dread Mar I - Tu Sin Mi [ Video Oficial HD Version ],,Dread Mar I,,,,,,,,False,0,0,0,1310000000.0,3.225,6320000.0,207.27848101265823,most_viewed_2026,0,English,Unknown,,6
la-oreja-de-van-gogh-rosas-v-deo-oficial::la-oreja-de-van-gogh,La Oreja de Van Gogh - Rosas (Vídeo Oficial),,La Oreja de Van Gogh,,,,,,,,False,0,0,0,1310000000.0,3.225,6320000.0,207.27848101265823,most_viewed_2026,0,English,Unknown,,6
tainy-anuel-aa-ozuna-adicto-official-video::tainy-anuel-aa-ozuna,"Tainy, Anuel AA, Ozuna - Adicto (Official Video)",,"Tainy, Anuel AA, Ozuna",,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
j-balvin-6-am-ft-farruko::j-balvin,J Balvin - 6 AM ft. Farruko,,J Balvin,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
bad-bunny-calla-ta-video-oficial::bad-bunny,BAD BUNNY - CALLAÍTA (Video Oficial),,BAD BUNNY,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
the-black-eyed-peas-where-is-the-love-official-music-video::the-black-eyed-peas,The Black Eyed Peas - Where Is The Love? (Official Music Video),,The Black Eyed Peas,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
coldplay-yellow-official-video::coldplay,Coldplay - Yellow (Official Video),,Coldplay,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
golden-official-lyric-video-kpop-demon-hunters-sony-animation::unknown,“Golden” Official Lyric Video | KPop Demon Hunters | Sony Animation,,Unknown,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
marc-anthony-vivir-mi-vida-official-video::marc-anthony,Marc Anthony - Vivir Mi Vida (Official Video),,Marc Anthony,,,,,,,,False,0,0,0,1300000000.0,3.225,6320000.0,205.69620253164558,most_viewed_2026,0,English,Unknown,,6
